timestamp,equipment_id,temperature,vibration,pressure,humidity,current,voltage,rpm,health_score,health_status
2026-09-06 00:00:00,EQ-IND-101,42.5,1.8,4.1,45.0,12.4,401.2,1480,95.4,Healthy
2026-09-06 00:15:00,EQ-IND-101,43.1,1.9,4.0,44.8,12.6,400.8,1482,94.8,Healthy
2026-09-06 00:30:00,EQ-IND-101,43.8,2.0,3.9,45.2,12.5,399.5,1478,94.1,Healthy
2026-09-06 00:45:00,EQ-IND-101,44.2,2.1,4.1,45.5,12.7,401.5,1485,93.5,Healthy
2026-09-06 01:00:00,EQ-IND-101,45.0,2.3,4.2,46.0,13.0,398.9,1475,92.0,Healthy
2026-09-06 01:15:00,EQ-IND-101,46.2,2.6,4.0,46.3,13.4,402.1,1470,90.2,Healthy
2026-09-06 01:30:00,EQ-IND-101,48.5,3.1,3.8,47.1,14.1,397.8,1465,87.5,Normal
2026-09-06 01:45:00,EQ-IND-101,51.0,3.8,3.7,48.0,15.0,396.5,1458,84.2,Normal
2026-09-06 02:00:00,EQ-IND-101,54.2,4.4,3.5,49.2,16.2,395.0,1450,80.1,Normal
2026-09-06 02:15:00,EQ-IND-101,58.0,5.2,3.3,50.1,17.8,393.2,1438,74.8,Normal
2026-09-06 02:30:00,EQ-IND-101,62.5,6.1,3.1,51.0,19.5,391.0,1425,67.3,Warning
2026-09-06 02:45:00,EQ-IND-101,67.8,7.2,2.9,52.4,21.2,388.5,1410,59.8,Warning
2026-09-06 03:00:00,EQ-IND-101,73.5,8.5,2.7,53.8,23.0,385.0,1390,51.2,Warning
2026-09-06 03:15:00,EQ-IND-101,79.2,9.8,2.4,55.0,25.1,381.2,1365,41.5,Warning
2026-09-06 03:30:00,EQ-IND-101,85.6,11.4,2.1,56.5,27.4,376.0,1330,29.8,Critical
2026-09-06 03:45:00,EQ-IND-101,89.1,13.2,1.8,58.0,29.0,372.5,1290,18.4,Critical
